p e cs2 gamma
2.1073728e+02 8.5175461e+02 3.2390426e-01 1.6330554e+00
2.1328982e+02 8.5963461e+02 3.2394987e-01 1.6295842e+00
2.1586635e+02 8.6758750e+02 3.2399523e-01 1.6261631e+00
2.1846707e+02 8.7561398e+02 3.2404036e-01 1.6227911e+00
2.2109221e+02 8.8371471e+02 3.2408525e-01 1.6194674e+00
2.2374201e+02 8.9189038e+02 3.2412989e-01 1.6161909e+00
2.2641669e+02 9.0014169e+02 3.2417431e-01 1.6129609e+00
2.2911649e+02 9.0846934e+02 3.2421848e-01 1.6097766e+00
2.3184163e+02 9.1687403e+02 3.2426243e-01 1.6066370e+00
2.3459235e+02 9.2535647e+02 3.2430614e-01 1.6035413e+00
2.3736890e+02 9.3391739e+02 3.2434962e-01 1.6004888e+00
2.4017151e+02 9.4255752e+02 3.2439288e-01 1.5974787e+00
2.4300042e+02 9.5127757e+02 3.2443590e-01 1.5945102e+00
2.4585589e+02 9.6007830e+02 3.2447871e-01 1.5915827e+00
2.4873815e+02 9.6896045e+02 3.2452128e-01 1.5886953e+00
2.5164745e+02 9.7792478e+02 3.2456364e-01 1.5858473e+00
2.5458405e+02 9.8697203e+02 3.2460577e-01 1.5830381e+00
2.5754821e+02 9.9610299e+02 3.2464768e-01 1.5802671e+00
2.6054017e+02 1.0053184e+03 3.2468937e-01 1.5775335e+00
2.6356020e+02 1.0146191e+03 3.2473085e-01 1.5748366e+00
2.6660855e+02 1.0240058e+03 3.2477211e-01 1.5721760e+00
2.6968550e+02 1.0334794e+03 3.2481316e-01 1.5695509e+00
2.7279131e+02 1.0430406e+03 3.2485399e-01 1.5669607e+00
2.7592624e+02 1.0526903e+03 3.2489461e-01 1.5644049e+00
2.7909057e+02 1.0624293e+03 3.2493502e-01 1.5618828e+00
2.8228457e+02 1.0722583e+03 3.2497522e-01 1.5593940e+00
2.8550852e+02 1.0821783e+03 3.2499536e-01 1.5568428e+00
