p e cs2 p_norm muB X n gamma
6.1830000e+04 1.9210000e+05 3.2560000e-01 8.2290000e-01 4.9790000e+03 2.9000000e+00 3.9120000e-01 1.3372086e+00
6.5930000e+04 2.0470000e+05 3.2570000e-01 8.2430000e-01 5.0570000e+03 2.9000000e+00 4.1056000e-01 1.3369360e+00
7.0230000e+04 2.1790000e+05 3.2590000e-01 8.2560000e-01 5.1360000e+03 2.9000000e+00 4.3040000e-01 1.3370578e+00
7.4740000e+04 2.3170000e+05 3.2600000e-01 8.2690000e-01 5.2140000e+03 2.9000000e+00 4.5088000e-01 1.3366262e+00
7.9470000e+04 2.4620000e+05 3.2610000e-01 8.2810000e-01 5.2930000e+03 2.9000000e+00 4.7216000e-01 1.3363658e+00
8.4410000e+04 2.6140000e+05 3.2630000e-01 8.2930000e-01 5.3720000e+03 2.9000000e+00 4.9392000e-01 1.3367824e+00
8.9580000e+04 2.7720000e+05 3.2640000e-01 8.3040000e-01 5.4500000e+03 2.9000000e+00 5.1632000e-01 1.3364255e+00
9.4990000e+04 2.9380000e+05 3.2650000e-01 8.3150000e-01 5.5290000e+03 2.9000000e+00 5.3952000e-01 1.3363505e+00
1.0060000e+05 3.1100000e+05 3.2660000e-01 8.3260000e-01 5.6070000e+03 2.9000000e+00 5.6336000e-01 1.3362680e+00
1.0650000e+05 3.2910000e+05 3.2670000e-01 8.3360000e-01 5.6860000e+03 2.9000000e+00 5.8784000e-01 1.3362490e+00
1.1270000e+05 3.4790000e+05 3.2680000e-01 8.3470000e-01 5.7640000e+03 2.9000000e+00 6.1312000e-01 1.3356174e+00
1.1910000e+05 3.6750000e+05 3.2690000e-01 8.3560000e-01 5.8430000e+03 2.9000000e+00 6.3904000e-01 1.3355965e+00
1.2580000e+05 3.8790000e+05 3.2700000e-01 8.3660000e-01 5.9210000e+03 2.9000000e+00 6.6560000e-01 1.3352933e+00
1.3270000e+05 4.0920000e+05 3.2710000e-01 8.3750000e-01 6.0000000e+03 2.9000000e+00 6.9296000e-01 1.3357610e+00
