p e cs2 p_norm muB X n gamma
4.3400000e+01 3.5260000e+02 2.8350000e-01 2.5570000e-01 1.0860000e+03 2.9000000e+00 2.8000000e-03 2.5867742e+00
4.4350000e+01 3.5600000e+02 2.8340000e-01 2.5880000e-01 1.0880000e+03 2.9000000e+00 2.8224000e-03 2.5582681e+00
4.5320000e+01 3.5940000e+02 2.8340000e-01 2.6190000e-01 1.0910000e+03 2.9000000e+00 2.8464000e-03 2.5308395e+00
4.6290000e+01 3.6280000e+02 2.8330000e-01 2.6500000e-01 1.0930000e+03 2.9000000e+00 2.8704000e-03 2.5036768e+00
4.7270000e+01 3.6630000e+02 2.8320000e-01 2.6800000e-01 1.0960000e+03 2.9000000e+00 2.8960000e-03 2.4777454e+00
4.8260000e+01 3.6980000e+02 2.8320000e-01 2.7100000e-01 1.0990000e+03 2.9000000e+00 2.9200000e-03 2.4532655e+00
4.9270000e+01 3.7330000e+02 2.8310000e-01 2.7400000e-01 1.1010000e+03 2.9000000e+00 2.9440000e-03 2.4280407e+00
5.0280000e+01 3.7690000e+02 2.8310000e-01 2.7700000e-01 1.1040000e+03 2.9000000e+00 2.9696000e-03 2.4052239e+00
5.1310000e+01 3.8050000e+02 2.8300000e-01 2.8000000e-01 1.1060000e+03 2.9000000e+00 2.9952000e-03 2.3816455e+00
5.2350000e+01 3.8420000e+02 2.8300000e-01 2.8290000e-01 1.1090000e+03 2.9000000e+00 3.0208000e-03 2.3599551e+00
5.3400000e+01 3.8790000e+02 2.8300000e-01 2.8590000e-01 1.1120000e+03 2.9000000e+00 3.0464000e-03 2.3387247e+00
5.4460000e+01 3.9170000e+02 2.8290000e-01 2.8880000e-01 1.1140000e+03 2.9000000e+00 3.0720000e-03 2.3176398e+00
5.5530000e+01 3.9540000e+02 2.8290000e-01 2.9170000e-01 1.1170000e+03 2.9000000e+00 3.0976000e-03 2.2972825e+00
5.6610000e+01 3.9930000e+02 2.8290000e-01 2.9450000e-01 1.1200000e+03 2.9000000e+00 3.1232000e-03 2.2783420e+00
5.7710000e+01 4.0310000e+02 2.8290000e-01 2.9740000e-01 1.1220000e+03 2.9000000e+00 3.1504000e-03 2.2589352e+00
5.8810000e+01 4.0710000e+02 2.8290000e-01 3.0020000e-01 1.1250000e+03 2.9000000e+00 3.1776000e-03 2.2412164e+00
5.9930000e+01 4.1100000e+02 2.8290000e-01 3.0300000e-01 1.1280000e+03 2.9000000e+00 3.2048000e-03 2.2230285e+00
6.1070000e+01 4.1500000e+02 2.8290000e-01 3.0580000e-01 1.1310000e+03 2.9000000e+00 3.2320000e-03 2.2053415e+00
6.2210000e+01 4.1910000e+02 2.8290000e-01 3.0850000e-01 1.1330000e+03 2.9000000e+00 3.2592000e-03 2.1887574e+00
6.3370000e+01 4.2310000e+02 2.8290000e-01 3.1130000e-01 1.1360000e+03 2.9000000e+00 3.2864000e-03 2.1717274e+00
6.4530000e+01 4.2730000e+02 2.8290000e-01 3.1400000e-01 1.1390000e+03 2.9000000e+00 3.3136000e-03 2.1561864e+00
6.5720000e+01 4.3150000e+02 2.8300000e-01 3.1670000e-01 1.1410000e+03 2.9000000e+00 3.3424000e-03 2.1411026e+00
6.6910000e+01 4.3570000e+02 2.8300000e-01 3.1940000e-01 1.1440000e+03 2.9000000e+00 3.3712000e-03 2.1258202e+00
6.8120000e+01 4.3990000e+02 2.8300000e-01 3.2210000e-01 1.1470000e+03 2.9000000e+00 3.4000000e-03 2.1105352e+00
6.9340000e+01 4.4430000e+02 2.8300000e-01 3.2470000e-01 1.1500000e+03 2.9000000e+00 3.4288000e-03 2.0963386e+00
7.0570000e+01 4.4860000e+02 2.8310000e-01 3.2740000e-01 1.1520000e+03 2.9000000e+00 3.4576000e-03 2.0827126e+00
7.1820000e+01 4.5300000e+02 2.8310000e-01 3.3000000e-01 1.1550000e+03 2.9000000e+00 3.4864000e-03 2.0687349e+00
7.3080000e+01 4.5750000e+02 2.8310000e-01 3.3260000e-01 1.1580000e+03 2.9000000e+00 3.5168000e-03 2.0553804e+00
