p e n/n0 cs2 p_norm muB X
1.935e+02 8.740e+02 3.786e-02 2.898e-01 4.733e-01 1.352e+00 2.920e+00
1.960e+02 8.829e+02 3.817e-02 2.899e-01 4.750e-01 1.355e+00 2.920e+00
1.986e+02 8.919e+02 3.849e-02 2.900e-01 4.767e-01 1.359e+00 2.920e+00
2.013e+02 9.010e+02 3.881e-02 2.902e-01 4.784e-01 1.362e+00 2.920e+00
2.039e+02 9.102e+02 3.913e-02 2.903e-01 4.801e-01 1.365e+00 2.920e+00
2.066e+02 9.194e+02 3.946e-02 2.904e-01 4.818e-01 1.369e+00 2.920e+00
2.093e+02 9.288e+02 3.979e-02 2.906e-01 4.835e-01 1.372e+00 2.920e+00
2.121e+02 9.382e+02 4.012e-02 2.907e-01 4.851e-01 1.375e+00 2.920e+00
2.149e+02 9.478e+02 4.045e-02 2.908e-01 4.868e-01 1.378e+00 2.920e+00
2.177e+02 9.575e+02 4.079e-02 2.909e-01 4.884e-01 1.382e+00 2.920e+00
2.205e+02 9.672e+02 4.112e-02 2.911e-01 4.901e-01 1.385e+00 2.920e+00
2.234e+02 9.771e+02 4.147e-02 2.912e-01 4.917e-01 1.388e+00 2.920e+00
2.263e+02 9.870e+02 4.181e-02 2.913e-01 4.933e-01 1.392e+00 2.920e+00
2.292e+02 9.971e+02 4.216e-02 2.915e-01 4.949e-01 1.395e+00 2.920e+00
2.322e+02 1.007e+03 4.250e-02 2.916e-01 4.965e-01 1.398e+00 2.920e+00
2.352e+02 1.018e+03 4.286e-02 2.917e-01 4.981e-01 1.402e+00 2.920e+00
2.382e+02 1.028e+03 4.321e-02 2.919e-01 4.997e-01 1.405e+00 2.920e+00
2.413e+02 1.038e+03 4.357e-02 2.920e-01 5.013e-01 1.409e+00 2.920e+00
2.444e+02 1.049e+03 4.393e-02 2.921e-01 5.028e-01 1.412e+00 2.920e+00
2.475e+02 1.060e+03 4.429e-02 2.922e-01 5.044e-01 1.415e+00 2.920e+00
2.506e+02 1.070e+03 4.466e-02 2.924e-01 5.059e-01 1.419e+00 2.920e+00
2.538e+02 1.081e+03 4.502e-02 2.925e-01 5.075e-01 1.422e+00 2.920e+00
2.571e+02 1.092e+03 4.540e-02 2.926e-01 5.090e-01 1.426e+00 2.920e+00
2.603e+02 1.104e+03 4.577e-02 2.928e-01 5.105e-01 1.429e+00 2.920e+00
2.636e+02 1.115e+03 4.615e-02 2.929e-01 5.121e-01 1.432e+00 2.920e+00
2.669e+02 1.126e+03 4.653e-02 2.930e-01 5.136e-01 1.436e+00 2.920e+00
2.703e+02 1.138e+03 4.691e-02 2.932e-01 5.151e-01 1.439e+00 2.920e+00
2.737e+02 1.149e+03 4.730e-02 2.933e-01 5.166e-01 1.443e+00 2.920e+00
2.771e+02 1.161e+03 4.768e-02 2.934e-01 5.180e-01 1.446e+00 2.920e+00
2.806e+02 1.173e+03 4.808e-02 2.935e-01 5.195e-01 1.450e+00 2.920e+00
2.841e+02 1.185e+03 4.847e-02 2.937e-01 5.210e-01 1.453e+00 2.920e+00
2.877e+02 1.197e+03 4.887e-02 2.938e-01 5.224e-01 1.457e+00 2.920e+00
2.913e+02 1.209e+03 4.927e-02 2.939e-01 5.239e-01 1.460e+00 2.920e+00
2.949e+02 1.221e+03 4.968e-02 2.941e-01 5.253e-01 1.464e+00 2.920e+00
2.985e+02 1.234e+03 5.008e-02 2.942e-01 5.268e-01 1.467e+00 2.920e+00
3.022e+02 1.246e+03 5.049e-02 2.943e-01 5.282e-01 1.471e+00 2.920e+00
3.060e+02 1.259e+03 5.091e-02 2.944e-01 5.296e-01 1.474e+00 2.920e+00
3.098e+02 1.272e+03 5.132e-02 2.946e-01 5.310e-01 1.478e+00 2.920e+00
3.136e+02 1.285e+03 5.174e-02 2.947e-01 5.325e-01 1.481e+00 2.920e+00
3.174e+02 1.298e+03 5.217e-02 2.948e-01 5.339e-01 1.485e+00 2.920e+00
3.213e+02 1.311e+03 5.259e-02 2.949e-01 5.353e-01 1.489e+00 2.920e+00
3.253e+02 1.325e+03 5.303e-02 2.951e-01 5.366e-01 1.492e+00 2.920e+00
3.293e+02 1.338e+03 5.346e-02 2.952e-01 5.380e-01 1.496e+00 2.920e+00
3.333e+02 1.352e+03 5.390e-02 2.953e-01 5.394e-01 1.499e+00 2.920e+00
3.374e+02 1.365e+03 5.434e-02 2.954e-01 5.408e-01 1.503e+00 2.920e+00
3.415e+02 1.379e+03 5.478e-02 2.956e-01 5.421e-01 1.507e+00 2.920e+00
3.456e+02 1.393e+03 5.523e-02 2.957e-01 5.435e-01 1.510e+00 2.920e+00
3.498e+02 1.408e+03 5.568e-02 2.958e-01 5.448e-01 1.514e+00 2.920e+00
3.541e+02 1.422e+03 5.613e-02 2.959e-01 5.461e-01 1.517e+00 2.920e+00
3.584e+02 1.437e+03 5.659e-02 2.961e-01 5.475e-01 1.521e+00 2.920e+00
3.627e+02 1.451e+03 5.705e-02 2.962e-01 5.488e-01 1.525e+00 2.920e+00
3.671e+02 1.466e+03 5.751e-02 2.963e-01 5.501e-01 1.528e+00 2.920e+00
3.715e+02 1.481e+03 5.798e-02 2.964e-01 5.514e-01 1.532e+00 2.920e+00
3.760e+02 1.496e+03 5.845e-02 2.966e-01 5.527e-01 1.536e+00 2.920e+00
3.805e+02 1.511e+03 5.893e-02 2.967e-01 5.540e-01 1.540e+00 2.920e+00
3.851e+02 1.527e+03 5.941e-02 2.968e-01 5.553e-01 1.543e+00 2.920e+00
3.897e+02 1.542e+03 5.989e-02 2.969e-01 5.566e-01 1.547e+00 2.920e+00
3.944e+02 1.558e+03 6.038e-02 2.971e-01 5.579e-01 1.551e+00 2.920e+00
3.991e+02 1.574e+03 6.087e-02 2.972e-01 5.591e-01 1.554e+00 2.920e+00
4.039e+02 1.590e+03 6.136e-02 2.973e-01 5.604e-01 1.558e+00 2.920e+00
4.087e+02 1.606e+03 6.186e-02 2.974e-01 5.617e-01 1.562e+00 2.920e+00
4.135e+02 1.622e+03 6.236e-02 2.975e-01 5.629e-01 1.566e+00 2.920e+00
4.185e+02 1.639e+03 6.287e-02 2.977e-01 5.642e-01 1.569e+00 2.920e+00
4.234e+02 1.656e+03 6.338e-02 2.978e-01 5.654e-01 1.573e+00 2.920e+00
4.284e+02 1.672e+03 6.389e-02 2.979e-01 5.666e-01 1.577e+00 2.920e+00
4.335e+02 1.689e+03 6.441e-02 2.980e-01 5.679e-01 1.581e+00 2.920e+00
4.386e+02 1.707e+03 6.493e-02 2.981e-01 5.691e-01 1.585e+00 2.920e+00
4.438e+02 1.724e+03 6.545e-02 2.983e-01 5.703e-01 1.588e+00 2.920e+00
4.491e+02 1.742e+03 6.598e-02 2.984e-01 5.715e-01 1.592e+00 2.920e+00
4.544e+02 1.759e+03 6.652e-02 2.985e-01 5.727e-01 1.596e+00 2.920e+00
4.597e+02 1.777e+03 6.705e-02 2.986e-01 5.739e-01 1.600e+00 2.920e+00
4.651e+02 1.795e+03 6.759e-02 2.987e-01 5.751e-01 1.604e+00 2.920e+00
4.706e+02 1.814e+03 6.814e-02 2.989e-01 5.763e-01 1.608e+00 2.920e+00
