p e n/n0 cs2 p_norm muB X
2.166e+02 9.396e+02 4.033e-02 2.913e-01 4.956e-01 1.375e+00 3
2.195e+02 9.494e+02 4.067e-02 2.914e-01 4.972e-01 1.378e+00 3
2.224e+02 9.593e+02 4.101e-02 2.915e-01 4.988e-01 1.382e+00 3
2.253e+02 9.693e+02 4.136e-02 2.917e-01 5.004e-01 1.385e+00 3
2.283e+02 9.794e+02 4.171e-02 2.918e-01 5.020e-01 1.389e+00 3
2.312e+02 9.897e+02 4.206e-02 2.919e-01 5.036e-01 1.392e+00 3
2.343e+02 1.000e+03 4.242e-02 2.921e-01 5.052e-01 1.396e+00 3
2.373e+02 1.010e+03 4.277e-02 2.922e-01 5.068e-01 1.399e+00 3
2.404e+02 1.021e+03 4.313e-02 2.924e-01 5.083e-01 1.402e+00 3
2.435e+02 1.032e+03 4.350e-02 2.925e-01 5.099e-01 1.406e+00 3
2.466e+02 1.042e+03 4.386e-02 2.926e-01 5.114e-01 1.409e+00 3
2.498e+02 1.053e+03 4.423e-02 2.928e-01 5.130e-01 1.413e+00 3
2.530e+02 1.064e+03 4.461e-02 2.929e-01 5.145e-01 1.416e+00 3
2.563e+02 1.075e+03 4.498e-02 2.930e-01 5.160e-01 1.420e+00 3
2.596e+02 1.087e+03 4.536e-02 2.932e-01 5.175e-01 1.423e+00 3
2.629e+02 1.098e+03 4.574e-02 2.933e-01 5.190e-01 1.427e+00 3
2.663e+02 1.109e+03 4.613e-02 2.934e-01 5.205e-01 1.430e+00 3
2.697e+02 1.121e+03 4.651e-02 2.936e-01 5.220e-01 1.434e+00 3
2.731e+02 1.133e+03 4.691e-02 2.937e-01 5.235e-01 1.437e+00 3
2.766e+02 1.144e+03 4.730e-02 2.938e-01 5.250e-01 1.441e+00 3
2.801e+02 1.156e+03 4.770e-02 2.940e-01 5.264e-01 1.444e+00 3
2.836e+02 1.168e+03 4.810e-02 2.941e-01 5.279e-01 1.448e+00 3
2.872e+02 1.181e+03 4.850e-02 2.942e-01 5.293e-01 1.451e+00 3
2.908e+02 1.193e+03 4.891e-02 2.944e-01 5.308e-01 1.455e+00 3
2.945e+02 1.205e+03 4.932e-02 2.945e-01 5.322e-01 1.459e+00 3
2.982e+02 1.218e+03 4.973e-02 2.946e-01 5.336e-01 1.462e+00 3
3.019e+02 1.231e+03 5.014e-02 2.948e-01 5.350e-01 1.466e+00 3
3.057e+02 1.243e+03 5.056e-02 2.949e-01 5.364e-01 1.469e+00 3
3.096e+02 1.256e+03 5.099e-02 2.950e-01 5.378e-01 1.473e+00 3
3.134e+02 1.270e+03 5.141e-02 2.951e-01 5.392e-01 1.477e+00 3
3.173e+02 1.283e+03 5.184e-02 2.953e-01 5.406e-01 1.480e+00 3
3.213e+02 1.296e+03 5.227e-02 2.954e-01 5.420e-01 1.484e+00 3
3.253e+02 1.310e+03 5.271e-02 2.955e-01 5.434e-01 1.488e+00 3
3.293e+02 1.323e+03 5.315e-02 2.957e-01 5.447e-01 1.491e+00 3
3.334e+02 1.337e+03 5.359e-02 2.958e-01 5.461e-01 1.495e+00 3
3.375e+02 1.351e+03 5.404e-02 2.959e-01 5.475e-01 1.499e+00 3
3.417e+02 1.365e+03 5.449e-02 2.960e-01 5.488e-01 1.502e+00 3
3.459e+02 1.379e+03 5.494e-02 2.962e-01 5.501e-01 1.506e+00 3
3.502e+02 1.394e+03 5.540e-02 2.963e-01 5.515e-01 1.510e+00 3
3.545e+02 1.408e+03 5.586e-02 2.964e-01 5.528e-01 1.513e+00 3
3.588e+02 1.423e+03 5.633e-02 2.966e-01 5.541e-01 1.517e+00 3
3.632e+02 1.438e+03 5.680e-02 2.967e-01 5.554e-01 1.521e+00 3
3.677e+02 1.453e+03 5.727e-02 2.968e-01 5.567e-01 1.524e+00 3
3.722e+02 1.468e+03 5.774e-02 2.969e-01 5.580e-01 1.528e+00 3
3.767e+02 1.483e+03 5.822e-02 2.971e-01 5.593e-01 1.532e+00 3
3.813e+02 1.499e+03 5.871e-02 2.972e-01 5.606e-01 1.536e+00 3
3.859e+02 1.514e+03 5.919e-02 2.973e-01 5.619e-01 1.540e+00 3
3.906e+02 1.530e+03 5.968e-02 2.974e-01 5.632e-01 1.543e+00 3
3.954e+02 1.546e+03 6.018e-02 2.976e-01 5.644e-01 1.547e+00 3
4.002e+02 1.562e+03 6.068e-02 2.977e-01 5.657e-01 1.551e+00 3
4.050e+02 1.578e+03 6.118e-02 2.978e-01 5.669e-01 1.555e+00 3
4.099e+02 1.595e+03 6.169e-02 2.979e-01 5.682e-01 1.559e+00 3
4.149e+02 1.611e+03 6.220e-02 2.981e-01 5.694e-01 1.562e+00 3
4.199e+02 1.628e+03 6.271e-02 2.982e-01 5.706e-01 1.566e+00 3
4.249e+02 1.645e+03 6.323e-02 2.983e-01 5.719e-01 1.570e+00 3
4.300e+02 1.662e+03 6.375e-02 2.984e-01 5.731e-01 1.574e+00 3
4.352e+02 1.680e+03 6.428e-02 2.985e-01 5.743e-01 1.578e+00 3
4.404e+02 1.697e+03 6.481e-02 2.987e-01 5.755e-01 1.582e+00 3
4.457e+02 1.715e+03 6.534e-02 2.988e-01 5.767e-01 1.586e+00 3
4.510e+02 1.733e+03 6.588e-02 2.989e-01 5.779e-01 1.589e+00 3
4.564e+02 1.751e+03 6.643e-02 2.990e-01 5.791e-01 1.593e+00 3
