p e n/n0 cs2 p_norm muB X
2.501e+02 6.794e+03 1.619e-01 6.063e-01 1.079e-01 2.087e+00 1
2.515e+02 6.797e+03 1.619e-01 6.050e-01 1.084e-01 2.087e+00 1
2.529e+02 6.799e+03 1.620e-01 6.037e-01 1.089e-01 2.088e+00 1
2.542e+02 6.801e+03 1.620e-01 6.024e-01 1.094e-01 2.088e+00 1
2.556e+02 6.803e+03 1.621e-01 6.011e-01 1.099e-01 2.088e+00 1
2.569e+02 6.806e+03 1.621e-01 5.998e-01 1.104e-01 2.089e+00 1
2.583e+02 6.808e+03 1.622e-01 5.985e-01 1.109e-01 2.089e+00 1
2.596e+02 6.810e+03 1.623e-01 5.973e-01 1.114e-01 2.090e+00 1
2.610e+02 6.812e+03 1.623e-01 5.960e-01 1.119e-01 2.090e+00 1
2.624e+02 6.815e+03 1.624e-01 5.948e-01 1.124e-01 2.090e+00 1
2.637e+02 6.817e+03 1.624e-01 5.935e-01 1.129e-01 2.091e+00 1
2.651e+02 6.819e+03 1.625e-01 5.923e-01 1.134e-01 2.091e+00 1
2.665e+02 6.822e+03 1.625e-01 5.911e-01 1.139e-01 2.092e+00 1
2.678e+02 6.824e+03 1.626e-01 5.899e-01 1.143e-01 2.092e+00 1
2.692e+02 6.826e+03 1.626e-01 5.887e-01 1.148e-01 2.092e+00 1
2.705e+02 6.829e+03 1.627e-01 5.875e-01 1.153e-01 2.093e+00 1
2.719e+02 6.831e+03 1.627e-01 5.863e-01 1.158e-01 2.093e+00 1
2.733e+02 6.833e+03 1.628e-01 5.851e-01 1.163e-01 2.094e+00 1
2.746e+02 6.836e+03 1.628e-01 5.839e-01 1.168e-01 2.094e+00 1
2.760e+02 6.838e+03 1.629e-01 5.827e-01 1.173e-01 2.095e+00 1
2.774e+02 6.840e+03 1.629e-01 5.816e-01 1.178e-01 2.095e+00 1
2.788e+02 6.843e+03 1.630e-01 5.804e-01 1.183e-01 2.095e+00 1
2.801e+02 6.845e+03 1.630e-01 5.793e-01 1.188e-01 2.096e+00 1
2.815e+02 6.847e+03 1.631e-01 5.781e-01 1.193e-01 2.096e+00 1
2.829e+02 6.850e+03 1.632e-01 5.770e-01 1.198e-01 2.097e+00 1
2.842e+02 6.852e+03 1.632e-01 5.759e-01 1.202e-01 2.097e+00 1
2.856e+02 6.855e+03 1.633e-01 5.747e-01 1.207e-01 2.097e+00 1
2.870e+02 6.857e+03 1.633e-01 5.736e-01 1.212e-01 2.098e+00 1
