R M
1.185003669094813716e+01 8.973697956840129830e-01
1.118462539713345372e+01 5.972293666108141608e-01
1.283283303469910130e+01 8.021513278152786475e-01
7.631294001344210542e+00 1.104836624880715767e+00
9.502610801042095545e+00 8.435138600000973153e-01
8.695797116235592483e+00 4.415989413781148953e-01
1.097014294911029353e+01 9.387130460791269781e-01
7.161053007536143156e+00 1.189584089115271137e+00
1.060827729586105406e+01 8.430864177818206961e-01
6.845899799834166188e+00 1.395649936272010505e+00
9.180431775459350519e+00 1.008337360200774580e+00
9.755780325594539448e+00 5.781591061402934217e-01
6.633988108071172007e+00 1.267676176164833857e+00
1.026330503560948415e+01 7.635682451106664548e-01
6.354622518994406555e+00 1.099171512416157181e+00
8.928903359492220915e+00 8.657541132813703078e-01
8.087013024608051381e+00 1.138758118867355895e+00
6.947340839730885342e+00 9.421032993703535308e-01
1.034796353042922235e+01 9.769357599940302617e-01
7.954772916806320815e+00 1.204571845545522546e+00
7.292546380244714577e+00 9.592320604599484657e-01
6.945128279145826866e+00 1.155574318768674225e+00
7.987320651789381998e+00 1.068058868180099097e+00
8.985700384013508568e+00 3.287290681443191809e-01
9.200779837326358290e+00 1.054040481614981761e+00
7.225584355734305575e+00 1.294415648282207565e+00
8.943878333464301278e+00 1.269126680256003059e+00
6.578656527351534500e+00 1.315310765566040541e+00
9.071339404330082345e+00 6.064593528801547340e-01
1.038098504170330116e+01 9.454761344300075532e-01
7.004620026024507951e+00 9.503936569103146326e-01
1.094619247495732850e+01 8.079724005392943109e-01
7.767151633401949695e+00 1.335523304903268205e+00
7.989780696181501440e+00 1.112150670251054185e+00
9.168424860220685702e+00 1.514549137755886177e+00
8.320912433713775869e+00 1.233188012915344300e+00
7.913026324345588947e+00 6.606984400291598947e-01
9.685525447968389656e+00 5.607062431031827332e-01
8.142438140160875193e+00 8.872010803526055867e-01
1.053627220088819172e+01 7.043049048895066999e-01
1.095690193428610826e+01 5.933306271841432000e-01
7.067021916497971290e+00 1.100158980157562860e+00
1.104013480324602270e+01 7.518466024948582405e-01
9.216857667630046436e+00 1.103438033983953570e+00
1.045902251064324062e+01 1.040961036614889146e+00
6.929692769658720941e+00 1.266663521793417679e+00
9.624146790217260161e+00 1.057594624273021200e+00
6.718868649347474964e+00 1.440985989102215203e+00
7.736378915488336006e+00 8.615619574479591591e-01
9.187120864717758906e+00 5.304218964732672070e-01
1.195606757294288691e+01 6.251046192140360391e-01
7.240302382985481344e+00 9.145048644870725774e-01
9.430192777819339511e+00 4.424248184736244149e-01
8.990613785899411070e+00 1.502995319389609952e+00
1.101579758804922449e+01 6.749969247107914239e-01
9.587462534246089518e+00 7.613127438383977541e-01
1.046705704079815824e+01 4.591428727481739469e-01
9.359989998511432319e+00 6.764188574857740166e-01
7.956231997233687459e+00 1.417794908525615405e+00
7.497057248957673004e+00 1.363862041132784197e+00
1.185397887241692061e+01 5.102672781154377057e-01
7.550883324586994405e+00 1.213898999948444635e+00
7.298994017093276554e+00 9.777786864363602337e-01
7.932898029058762290e+00 1.324094696250118774e+00
7.813327433404283262e+00 1.161319798120590496e+00
1.020882239223779919e+01 7.799969084896614113e-01
1.106109488996660062e+01 1.219099709868488812e+00
1.159582148268538226e+01 5.329096672902178256e-01
1.202262546691411060e+01 1.096686518894637086e+00
1.082087950423691325e+01 7.073538209534500076e-01
8.552857924885614693e+00 3.700929544016421380e-01
1.107093390171832681e+01 7.309728642030508539e-01
1.142105440739396194e+01 6.114656991528311103e-01
9.898247595611675109e+00 7.498630743993612846e-01
9.211114627209042283e+00 6.978621557444565360e-01
9.305828813886561690e+00 9.447591424568579921e-01
8.483047193027644539e+00 8.382706365370337087e-01
6.150556572678770095e+00 1.202367446599108991e+00
9.303354175591604047e+00 9.654959347700312611e-01
1.044149641012271879e+01 8.826099063422891966e-01
8.837966705981010307e+00 9.658155368389921280e-01
9.325335383845612114e+00 9.039135112249513382e-01
9.738586165923933891e+00 1.300713019929063075e+00
8.943144173064110802e+00 7.281603908545306592e-01
9.312986391210944959e+00 9.795954680023074568e-01
9.648810276464544700e+00 7.584353908918589626e-01
8.721261922879818940e+00 9.277655481374644797e-01
1.101895834214653824e+01 7.363494671385106827e-01
9.258173383481416607e+00 1.116290671786789535e+00
9.916057762292227906e+00 9.473291682424347382e-01
6.988768975585063714e+00 1.342966416707040533e+00
1.001694247061542775e+01 1.124389975541713937e+00
1.003499034381964883e+01 4.462808469228730646e-01
9.443686142356817470e+00 1.072793391429430532e+00
8.577502535631971625e+00 1.499054592209457137e+00
8.091349392123646567e+00 1.279791848385798847e+00
1.032911826692767043e+01 5.831740073701295879e-01
9.962242251435110774e+00 4.328579331481398063e-01
8.862602423351729541e+00 1.710146107965963225e+00
6.462138325503167025e+00 1.073161091739119222e+00
9.450371272722032145e+00 9.789160889720875947e-01
9.764913694488061680e+00 1.112199973619814708e+00
6.905452613813718443e+00 1.383053340368402218e+00
8.985466076545023384e+00 1.160098220956934378e+00
9.030562216822790589e+00 1.363298556869903866e+00
6.366049544789266434e+00 1.054586018397152491e+00
1.111190614613693484e+01 7.937031386800654786e-01
7.541706023821486582e+00 1.306151978118178958e+00
8.859080735451309252e+00 1.236518608861901791e+00
6.963356736544054293e+00 1.441438808669938565e+00
1.150694780757227953e+01 6.682469224764701066e-01
9.602618403781722378e+00 7.117630679764618273e-01
8.594140115480586317e+00 7.689455952728773136e-01
9.489023650170214097e+00 8.007554089843200718e-01
9.980349785826529541e+00 1.075672181679929285e+00
9.264394377353308840e+00 9.621941331934443786e-01
7.734730377534474677e+00 1.062772876690639468e+00
1.125798281786680377e+01 1.048838994134984492e+00
9.413568046605682582e+00 6.637781732868888174e-01
9.078983579068937715e+00 1.165742162740571963e+00
1.097983532466782286e+01 5.388549468179111290e-01
1.013454691634535720e+01 3.772534564321817774e-01
1.098579511505702477e+01 7.182201187104351181e-01
1.111384170243248271e+01 4.968651735467033426e-01
1.015067223648309458e+01 4.396156411651488405e-01
1.060863317924818006e+01 1.188804117599830512e+00
6.521639580898012767e+00 1.255144762637231626e+00
8.639547377104587866e+00 7.489666147943975227e-01
8.227206234742421742e+00 9.770598179076410705e-01
1.023528705843053643e+01 9.774116800157549578e-01
9.501576462229994746e+00 1.127061504295817196e+00
8.611286421363200105e+00 1.413684709010561980e+00
7.847349409998731318e+00 1.385160905609720938e+00
1.052103357439442277e+01 4.471582417832218326e-01
8.895153221635725416e+00 8.653694745313421643e-01
8.197464082787206507e+00 1.215752147446291342e+00
6.368308309247274757e+00 1.279726676807377839e+00
1.136328251684758150e+01 7.789612431745868149e-01
9.084671503874538701e+00 4.203101605780631411e-01
1.039324340549519832e+01 9.991488704148068223e-01
8.642466079297442150e+00 9.082092722353911629e-01
7.227675006757667830e+00 8.752784848335908308e-01
1.144515386737503704e+01 8.254973190050223231e-01
9.514677575821576028e+00 1.067949942519174966e+00
5.702650556890138667e+00 1.188862379802646307e+00
8.140969840628281773e+00 8.091598389017105042e-01
8.633033714437761574e+00 1.395745694717358099e+00
9.165583877505316224e+00 1.307129101314213893e+00
1.008594257737932409e+01 9.558842931350207683e-01
1.042147882921470448e+01 7.238739927325232859e-01
9.010825439418123750e+00 9.685601365064766544e-01
1.120061383278088130e+01 7.190096711654937467e-01
9.436585930581827597e+00 8.601688635423406781e-01
8.068664863199540349e+00 1.077514178193530903e+00
9.239984913490404850e+00 5.363032039158495135e-01
1.151402164358115243e+01 7.244897834675547710e-01
1.042676661790203596e+01 5.921584871431059272e-01
9.209630613724016257e+00 1.026170079954988656e+00
6.537384637140285726e+00 1.244189590675677692e+00
8.691304551364087416e+00 1.180196093121809842e+00
7.452304906619110270e+00 1.256251468636990332e+00
9.848321876283357312e+00 6.727332679064486065e-01
9.835243785714332887e+00 7.288392986248160010e-01
1.179635671508977701e+01 1.023193359218081078e+00
6.555024161582768016e+00 1.146220153759216931e+00
1.053610172436021841e+01 8.549187145912131580e-01
7.496628459820137813e+00 1.483620746320636785e+00
7.831831226328239914e+00 1.133211568442187955e+00
1.092597437151024309e+01 1.026738013254099968e+00
8.332481475334867937e+00 1.204731650047832670e+00
1.082209717102699642e+01 7.680578046488997224e-01
6.765635322583692712e+00 1.395927092215481169e+00
1.068936393887023328e+01 7.286885266961475871e-01
7.428307966091180603e+00 1.191263097801144477e+00
1.053631669431783102e+01 6.808580520715870055e-01
9.129343034627673603e+00 1.124872510049329311e+00
1.092475965114511993e+01 5.292867641590606187e-01
8.829349327814195902e+00 8.057554366929725598e-01
5.876326437279209003e+00 1.166893200016826171e+00
9.573479741644447927e+00 1.525873451687786986e+00
7.275051960541611962e+00 6.704269439396792762e-01
1.197564521439665342e+01 7.328920929892077663e-01
8.877240673839098761e+00 1.189304064638648128e+00
1.029504077964513442e+01 7.494045475067092621e-01
7.751739067835632824e+00 1.221833165056404269e+00
1.045002246702420479e+01 6.239605555375588031e-01
1.071218973898308491e+01 4.914871474964249143e-01
9.185236828930545272e+00 1.010703053737573853e+00
7.025022886716260295e+00 1.221733013902237985e+00
9.369670293302725383e+00 4.697112630025159774e-01
8.687755710444125867e+00 1.181127000559598628e+00
1.075727644077973721e+01 9.805963758632854077e-01
1.062938743571866773e+01 5.421112778394496790e-01
1.012974822330416202e+01 5.830253983342732482e-01
1.027376156653677874e+01 1.166029966794605244e+00
7.607257720399452694e+00 1.029806877248255148e+00
1.129321180374079248e+01 7.250439226499081347e-01
9.232938897467928285e+00 8.264049117404753675e-01
6.562640768909780320e+00 1.317295263521735427e+00
8.691886748590196277e+00 1.076014217486976232e+00
8.655492465768599430e+00 8.480567054475210975e-01
9.193394600555532037e+00 7.592594114404700445e-01
8.881084000025133207e+00 9.136964102483360328e-01
9.087275147465245340e+00 9.443009017705035202e-01
1.021036536427202535e+01 1.048457804722253028e+00
1.144372096913748393e+01 6.083902636569886724e-01
9.002807878018268539e+00 1.074730915886130234e+00
9.989464378183757987e+00 6.825410218959571118e-01
9.459714710741209842e+00 8.123282372944300445e-01
7.964799384303608676e+00 9.722325200857773186e-01
9.513231236438377536e+00 4.398001498456471370e-01
7.708928966840624675e+00 1.567834634129377847e+00
1.130673515498085813e+01 1.199644239393375500e+00
1.101433599471277702e+01 1.013478137018471337e+00
9.234356748719037000e+00 7.024239323924607037e-01
6.836644402490394512e+00 1.395901703291458240e+00
1.071345355535251365e+01 7.508431598946641028e-01
1.024712379816202912e+01 5.935557791188009746e-01
8.731039337601202988e+00 8.158789047847381237e-01
9.592470497277574282e+00 5.511538865937042342e-01
7.014167701979123315e+00 1.028946681061204460e+00
6.934589730240608318e+00 1.262874178086813126e+00
1.053604324111261015e+01 5.833025332384313977e-01
1.062349660934550499e+01 7.422538794998161382e-01
9.806959769448031494e+00 4.921022589918057077e-01
1.015803419919165762e+01 6.192141782755240520e-01
9.237816256761256284e+00 1.171911620000738008e+00
6.658924419909315162e+00 1.201472089549110445e+00
1.136864007930274134e+01 5.565202820899214364e-01
9.333905740359002223e+00 5.473102888527935361e-01
1.093562372088786638e+01 4.509510897439883981e-01
1.039777572746236167e+01 3.990145238728603494e-01
6.218792779571509222e+00 1.333768793155838628e+00
1.008406503015699585e+01 6.257169114151770462e-01
7.458932655244366217e+00 1.395835766217766061e+00
8.532741123532799676e+00 1.037896918450316841e+00
7.412407330390539784e+00 1.279777842635109408e+00
1.137913438933665944e+01 1.046555544877685540e+00
6.129026269160927853e+00 1.281981498083731630e+00
1.002196335301427332e+01 1.019238841593621325e+00
6.554589562134664149e+00 1.412116177337155332e+00
7.601283496059249245e+00 1.047675959384263944e+00
8.159045748102128570e+00 1.280362335568503651e+00
8.807831856227201328e+00 9.763625885732063470e-01
1.107671635088355799e+01 5.233708705108511827e-01
7.705848259025223079e+00 1.246980661031631410e+00
9.601333566120738183e+00 8.902269957359044694e-01
1.076584550609986302e+01 5.802487726085618913e-01
7.642719466972040188e+00 5.117057459235023753e-01
7.073347285607750834e+00 9.439770294280669383e-01
8.700914775971648751e+00 1.058745891916230697e+00
1.153907255802818099e+01 6.205997479227290947e-01
8.807642199837072639e+00 1.285489258629328946e+00
9.394242004728472040e+00 5.859471779853382412e-01
1.044970757514887083e+01 9.536968205885596461e-01
8.575300998738462965e+00 1.433662387373245028e+00
1.069656979608430980e+01 8.748404512063527871e-01
8.558396424931162372e+00 4.607391604256479978e-01
9.064450830871891185e+00 1.077110606469801946e+00
8.476971971294950947e+00 9.952521122813977605e-01
6.823811183308115424e+00 1.305557041643996330e+00
1.015713418964910275e+01 4.541910767457155718e-01
8.571376882425475685e+00 1.434755391407851022e+00
9.501785230913521119e+00 8.140034817764164599e-01
9.722657817094424004e+00 1.067415695239369411e+00
8.974716471824843111e+00 7.497741327791143107e-01
1.006567657643218894e+01 8.512921588450668153e-01
6.911675183948696954e+00 1.183608821196493022e+00
1.090700863115398889e+01 5.202656630802874327e-01
