e  p
747.16479266604824 190.16362421986227     
752.01832246661615 192.25064052754192     
756.88852095604443 194.34827589303171     
761.77554856383290 196.45654442611669     
766.67956638009196 198.57546086534447     
771.60073613323163 200.70504059231430     
776.53922016222202 202.84529964535335     
781.49518138307303 204.99625473239064     
786.46878324956788 207.15792324298837     
791.46018970815908 209.33032325946206     
796.46956514701685 211.51347356703334     
801.49707433924925 213.70739366296908     
806.54288238028130 215.91210376464355     
811.60715461945097 218.12762481647644     
816.69005658586104 220.35397849569921     
821.79175390856096 222.59118721689595     
826.91241223117152 224.83927413528087     
832.05219712104349 227.09826314866456     
837.21127397309795 229.36817889807236     
842.38980790851542 231.64904676698058     
847.58796366844388 233.94089287913323     
852.80590550292050 236.24374409491367     
858.04379705618931 238.55762800646576     
863.30180124318645 240.88257293026058     
868.58008013075710 243.21860790022083     
873.87879480663344 245.56576265732110     
879.19810524909053 247.92406763863559     
884.53817019270662 250.29355396467128     
889.89914699138239 252.67425342517825     
895.28119147894813 255.06619846344273     
900.68445782781816 257.46942215908422     
906.10909840602176 259.88395820936972     
911.55526363308832 262.30984090907884     
917.02310183518296 264.74710512894109     
922.51275909993467 267.19578629268909     
928.02437913146684 269.65592035277638     
933.55810310613890 272.12754376481791     
939.11406952908601 274.61069346073964     
944.69241409183815 277.10540682064448     
950.29326953420707 279.61172164399989     
955.91676550589898 282.12967611924370     
961.56302843337085 284.65930879284662     
967.23218138600373 287.20065853672321     
972.92434395396003 289.75376451626067     
978.63963212239457 292.31866615615513     
984.37815815455417 294.89540310637636     
990.14003047926235 297.48401520744403     
995.92535358305452 300.08454245504129     
1001.7342279125851 302.69702496526088     
1007.5667497750417 305.32150293775265     
1013.4230112533792 307.95801662050792     
1019.3031001245273 310.60660627374517     
1025.2070997856360 313.26731213401121     
1031.1350891878492 315.94017437845662     
1037.0871427777722 318.62523308936011     
1043.0633304469088 321.32252821902148     
1049.0637174891269 324.03209955510727     
1055.0883645663660 326.75398668655043     
1061.1373276826089 329.48822897009455     
1067.2106581662158 332.23486549756564     
1073.3084026606257 334.99393506396808     
1079.4306031234239 337.76547613647568     
1085.5772968337099 340.54952682439261     
1091.7485164077198 343.34612485016703     
1097.9442898225775 346.15530752150823     
1104.1646404480300 348.97711170468597     
1110.4095870859985 351.81157379904420     
1116.6791440177963 354.65872971280947     
1122.9733210587028 357.51861484020435     
1129.2921236197080 360.39126403992617     
1135.6355527761823 363.27671161501900     
1142.0036053430867 366.17499129415478     
1148.3962739565554 369.08613621436490     
1154.8135471613800 372.01017890520535     
1161.2554095041878 374.94715127440020     
1167.7218416318365 377.89708459492886     
1174.2128203947284 380.86000949357970     
1180.7283189546974 383.83595594095146     
1187.2683068972210 386.82495324298259     
1193.8327503466714 389.82703003345216     
1200.4216120867382 392.84221426879463     
1207.0348516819827 395.87053322337016     
1213.6724256031034 398.91201348653868     
1220.3342873543015 401.96668096094646     
1227.0203876025787 405.03456086203596     
1233.7306743085765 408.11567771905169     
1240.4650928588692 411.21005537670379     
1247.2235861989172 414.31771699852766     
1254.0060949667875 417.43868507107209     
1260.8125576270593 420.57298140918351     
1267.6429106047908 423.72062716225412     
1274.4970884190677 426.88164282168623     
1281.3750238161792 430.05604822876688     
1288.2766479017935 433.24386258385778     
1295.2018902721807 436.44510445618033     
1302.1506791441448 439.65979179439159     
1309.1229414834543 442.88794193786555     
1316.1186031316593 446.12957162862460     
1323.1375889310457 449.38469702388790     
1330.1798228476268 452.65333370916318     
1337.2452280920022 455.93549671186167     
1344.3337272379888 459.23120051537461     
1351.4452423389052 462.54045907356948     
1358.5796950414310 465.86328582567603     
1365.7370066969422 469.19969371149750     
1372.9170984702923 472.54969518693633     
1380.1198914459819 475.91330223977349     
1387.3453067316780 479.29052640568148     
1394.5932655590814 482.68137878443474     
1401.8636893821104 486.08587005627481     
1409.1564999724146 489.50401049842094     
1416.4716195122598 492.93581000168109     
1423.8089706847627 496.38127808714728     
1431.1684767615675 499.84042392295277     
1438.5500616879597 503.31325634106003     
1445.9536501654934 506.79978385407594     
1453.3791677322236 510.30001467206205     
1460.8265408405605 513.81395671933331     
1468.2956969328454 517.34161765122644     
1475.7865645147772 520.88300487083166     
1483.2990732267151 524.43812554568046     
1490.8331539129977 528.00698662436230     
1498.3887386893641 531.58959485309629     
1505.9657610085887 535.18595679221903     
1513.5641557244883 538.79607883261497     
1521.1838591543296 542.41996721207215     
1528.8248091398441 546.05762803155756     
1536.4869451069487 549.70906727144552     
1544.1702081243152 553.37429080765469     
1551.8745409608948 557.05330442775244     
1559.5998881425905 560.74611384698392     
1567.3461960081891 564.45272472427393     
1575.1134127647135 568.17314267818631     
1582.9014885423480 571.90737330285981     
1590.7103754491159 575.65542218393819     
1598.5400276254377 579.41729491450678     
1606.3904012987898 583.19299711103690     
1614.2614548385968 586.98253442938540     
1622.1531488115543 590.78591258083804     
1630.0654460376115 594.60313734824194     
1637.9983116467179 598.43421460222282     
1645.9517131366392 602.27915031754515     
1653.9256204319968 606.13795058961227     
1661.9200059447714 610.01062165114377     
1669.9348446364827 613.89716988907003     
1677.9701140823277 617.79760186166163     
1686.0257945375183 621.71192431593886     
1694.1018690060464 625.64014420539252     
1702.1983233120475 629.58226870798842     
1710.3151461751058 633.53830524489945     
1718.4523292871897 637.50826149903833     
1726.6098673950016 641.49214543470873     
1734.7877583855854 645.48996531749094     
1742.9860033765697 649.50172973479380     
1751.2046068113036 653.52744761706401     
1759.4435765593566 657.56712825973477     
1767.7029240228474 661.62078134596845     
1775.9826642491296 665.68841697028438     
1784.2828160504291 669.77004566314793     
1792.6034021310586 673.86567841662634     
1800.9444492228251 677.97532671118972     
1809.3059882294851 682.09900254378840     
1817.6880543809402 686.23671845732099     
1826.0906873981576 690.38848757161588     
1834.5139316697257 694.55432361606995     
1842.9578364411975 698.73424096413578     
1851.4224560183029 702.92825466976603     
