p e n cs2 gamma
4.6900e+01 5.3280e+02 3.4000e+00 4.8625e-01 6.0102e+00
5.5810e+01 5.5000e+02 3.5000e+00 5.5243e-01 5.9965e+00
6.6090e+01 5.6750e+02 3.6000e+00 6.2710e-01 6.0119e+00
7.7900e+01 5.8520e+02 3.7000e+00 7.0638e-01 6.0128e+00
9.1410e+01 6.0330e+02 3.8000e+00 7.8868e-01 5.9939e+00
1.0680e+02 6.2180e+02 3.9000e+00 8.7841e-01 5.9926e+00
1.2430e+02 6.4070e+02 4.0000e+00 7.1464e-01 4.3982e+00
1.3390e+02 6.5990e+02 4.1000e+00 5.0636e-01 3.0019e+00
1.4390e+02 6.7940e+02 4.2000e+00 5.2400e-01 2.9980e+00
1.5450e+02 6.9920e+02 4.3000e+00 5.4404e-01 3.0061e+00
1.6550e+02 7.1910e+02 4.4000e+00 5.5956e-01 2.9909e+00
1.7700e+02 7.3940e+02 4.5000e+00 5.7831e-01 2.9942e+00
1.8910e+02 7.5990e+02 4.6000e+00 5.9942e-01 3.0082e+00
2.0170e+02 7.8060e+02 4.7000e+00 6.1706e-01 3.0052e+00
2.1490e+02 8.0170e+02 4.8000e+00 6.3435e-01 3.0008e+00
2.2860e+02 8.2300e+02 4.9000e+00 6.5025e-01 2.9913e+00
2.4280e+02 8.4460e+02 5.0000e+00 6.6881e-01 2.9953e+00
2.5770e+02 8.6650e+02 5.1000e+00 6.8922e-01 3.0067e+00
2.7320e+02 8.8870e+02 5.2000e+00 7.0461e-01 2.9967e+00
2.8920e+02 9.1120e+02 5.3000e+00 7.2171e-01 2.9957e+00
3.0590e+02 9.3400e+02 5.4000e+00 7.4063e-01 3.0020e+00
3.2320e+02 9.5710e+02 5.5000e+00 7.5736e-01 3.0002e+00
3.4120e+02 9.8060e+02 5.6000e+00 7.8045e-01 3.0234e+00
3.5980e+02 1.0040e+03 5.7000e+00 7.9946e-01 3.0303e+00
3.7910e+02 1.0280e+03 5.8000e+00 8.1667e-01 3.0312e+00
3.9900e+02 1.0520e+03 5.9000e+00 8.2860e-01 3.0133e+00
4.1970e+02 1.0770e+03 6.0000e+00 8.4200e-01 3.0027e+00
4.4110e+02 1.1020e+03 6.1000e+00 8.5117e-01 2.9777e+00
4.6310e+02 1.1280e+03 6.2000e+00 8.5962e-01 2.9534e+00
4.8580e+02 1.1540e+03 6.3000e+00 8.8846e-01 2.9990e+00
5.0930e+02 1.1800e+03 6.4000e+00 9.1923e-01 3.0490e+00
5.3360e+02 1.2060e+03 6.5000e+00 9.3035e-01 3.0331e+00
5.5860e+02 1.2330e+03 6.6000e+00 9.2372e-01 2.9626e+00
5.8440e+02 1.2610e+03 6.7000e+00 9.3571e-01 2.9548e+00
6.1100e+02 1.2890e+03 6.8000e+00 9.6429e-01 2.9986e+00
6.3840e+02 1.3170e+03 6.9000e+00 9.9107e-01 3.0356e+00
6.6650e+02 1.3450e+03 7.0000e+00 1.0036e+00 3.0288e+00
