e p n mu_b mu_e Gamma cs2 increasing
1.607670e-06 6.966390e-11 1.727660e-06 9.305190e+02 7.634420e-01 1.530110e+00 6.630020e-05 1.000000e+00
1.671920e-06 7.396500e-11 1.796700e-06 9.305210e+02 7.689990e-01 1.527820e+00 6.758710e-05 1.000000e+00
1.738840e-06 7.853140e-11 1.868610e-06 9.305230e+02 7.746690e-01 1.525530e+00 6.889460e-05 1.000000e+00
1.808540e-06 8.338060e-11 1.943510e-06 9.305260e+02 7.804560e-01 1.523230e+00 7.022360e-05 1.000000e+00
1.881150e-06 8.852820e-11 2.021540e-06 9.305290e+02 7.863610e-01 1.520940e+00 7.157310e-05 1.000000e+00
1.956780e-06 9.399410e-11 2.102820e-06 9.305310e+02 7.923870e-01 1.518640e+00 7.294430e-05 1.000000e+00
2.035590e-06 9.979780e-11 2.187500e-06 9.305340e+02 7.985350e-01 1.516340e+00 7.433720e-05 1.000000e+00
2.117690e-06 1.059590e-10 2.275720e-06 9.305370e+02 8.048080e-01 1.514040e+00 7.575160e-05 1.000000e+00
2.203240e-06 1.125010e-10 2.367650e-06 9.305390e+02 8.112070e-01 1.511740e+00 7.718840e-05 1.000000e+00
2.292380e-06 1.194470e-10 2.463440e-06 9.305420e+02 8.177360e-01 1.509450e+00 7.864740e-05 1.000000e+00
2.385270e-06 1.268220e-10 2.563250e-06 9.305450e+02 8.243960e-01 1.507150e+00 8.012880e-05 1.000000e+00
2.482080e-06 1.346520e-10 2.667280e-06 9.305480e+02 8.311900e-01 1.504860e+00 8.163370e-05 1.000000e+00
2.582970e-06 1.429650e-10 2.775690e-06 9.305510e+02 8.381200e-01 1.502560e+00 8.316110e-05 1.000000e+00
2.688130e-06 1.517920e-10 2.888690e-06 9.305540e+02 8.451870e-01 1.500280e+00 8.471240e-05 1.000000e+00
2.797730e-06 1.611640e-10 3.006470e-06 9.305580e+02 8.523960e-01 1.497990e+00 8.628740e-05 1.000000e+00
2.911990e-06 1.711150e-10 3.129240e-06 9.305610e+02 8.597480e-01 1.495720e+00 8.788630e-05 1.000000e+00
3.031090e-06 1.816800e-10 3.257220e-06 9.305640e+02 8.672440e-01 1.493440e+00 8.950940e-05 1.000000e+00
3.155270e-06 1.928970e-10 3.390650e-06 9.305680e+02 8.748890e-01 1.491170e+00 9.115720e-05 1.000000e+00
3.284720e-06 2.048060e-10 3.529750e-06 9.305710e+02 8.826850e-01 1.488910e+00 9.282970e-05 1.000000e+00
3.419700e-06 2.174520e-10 3.674790e-06 9.305740e+02 8.906330e-01 1.486660e+00 9.452760e-05 1.000000e+00
